time_control,end_time,rated,time_class,white_username,white_rating,white_result,black_username,black_rating,black_result,black_accuracy,white_accuracy
180,2024-01-03,True,blitz,Bagrat1on,2867,resigned,Hikaru,3290,win,88.72,84.14
180,2024-01-03,True,blitz,Hikaru,3291,win,Bagrat1on,2866,resigned,85.15,89.46
180,2024-01-03,True,blitz,Bagrat1on,2865,resigned,Hikaru,3292,win,84.65,76.08
180,2024-01-03,True,blitz,Hikaru,3293,win,Bagrat1on,2864,resigned,83.71,89.94
180,2024-01-03,True,blitz,Bagrat1on,2863,resigned,Hikaru,3294,win,93.48,83.29
180,2024-01-03,True,blitz,Hikaru,3295,win,Bagrat1on,2862,timeout,84.19,90.41
180,2024-01-03,True,blitz,Bagrat1on,2877,win,Hikaru,3280,resigned,88.6,94.52
180,2024-01-03,True,blitz,Hikaru,3281,win,Bagrat1on,2876,resigned,79.81,86.62
180,2024-01-03,True,blitz,Bagrat1on,2875,resigned,Hikaru,3282,win,88.44,82.62
180,2024-01-03,True,blitz,Hikaru,3283,win,Bagrat1on,2874,resigned,74.28,83.4
180,2024-01-03,True,blitz,Bagrat1on,2873,resigned,Hikaru,3284,win,84.71,81.92
180,2024-01-03,True,blitz,Hikaru,3285,win,Bagrat1on,2872,resigned,72.52,97.74
180,2024-01-03,True,blitz,Bagrat1on,2871,resigned,Hikaru,3286,win,96.26,82.78
180,2024-01-03,True,blitz,Hikaru,3279,insufficient,Bagrat1on,2878,insufficient,93.86,94.26
180,2024-01-03,True,blitz,Bagrat1on,2877,resigned,Hikaru,3280,win,84.75,75.79
180,2024-01-03,True,blitz,Hikaru,3281,win,Bagrat1on,2876,resigned,85.24,91.95
180,2024-01-03,True,blitz,Bagrat1on,2875,resigned,Hikaru,3282,win,95.81,79.75
180,2024-01-03,True,blitz,Hikaru,3283,win,Bagrat1on,2874,resigned,88.49,92.92
180,2024-01-03,True,blitz,Bagrat1on,2873,resigned,Hikaru,3284,win,90.18,81.73
180,2024-01-03,True,blitz,Hikaru,3285,win,Bagrat1on,2872,resigned,79.08,85.21
180,2024-01-03,True,blitz,Bagrat1on,2871,timeout,Hikaru,3286,win,85.77,82.1
180,2024-01-03,True,blitz,Hikaru,3287,win,Bagrat1on,2870,resigned,76.74,83.65
180,2024-01-03,True,blitz,Bagrat1on,2885,win,Hikaru,3272,checkmated,74.35,83.63
180,2024-01-03,True,blitz,Hikaru,3274,win,Bagrat1on,2883,checkmated,62.94,99.84
180,2024-01-03,True,blitz,Bagrat1on,2881,resigned,Hikaru,3276,win,98.09,85.72
180,2024-01-03,True,blitz,Hikaru,3278,win,Bagrat1on,2879,resigned,80.92,86.57
180,2024-01-03,True,blitz,Hikaru,3281,win,Oleksandr_Bortnyk,2987,resigned,86.51,94.53
180,2024-01-03,True,blitz,nihalsarin,3175,insufficient,Hikaru,3279,insufficient,92.35,92.53
180,2024-01-03,True,blitz,Kacparov,2936,resigned,Hikaru,3281,win,85.12,81.57
180,2024-01-03,True,blitz,Hikaru,3279,repetition,nihalsarin,3171,repetition,100.0,100.0
180,2024-01-03,True,blitz,Hikaru,3279,win,Aayush_Sharma_24,2435,resigned,70.8,88.68
180,2024-01-03,True,blitz,JuniorJumper,2507,resigned,Hikaru,3279,win,82.9,77.34
180,2024-01-03,True,blitz,DawidCzerw,2514,resigned,Hikaru,3279,win,93.13,83.69
180,2024-01-03,True,blitz,Hikaru,3277,repetition,nihalsarin,3179,repetition,100.0,100.0
180,2024-01-03,True,blitz,Hikaru,3279,win,gmcorrales,2923,resigned,86.68,93.02
180,2024-01-03,True,blitz,ymflb8hj43890rfjiwo93i,2675,resigned,Hikaru,3280,win,90.31,84.12
180,2024-01-03,True,blitz,Hikaru,3281,win,DamianoLew95,2706,resigned,64.55,92.99
180,2024-01-03,True,blitz,Hikaru,3284,win,Jospem,3024,resigned,89.14,92.3
180,2024-01-03,True,blitz,mitrabhaa,2894,resigned,Hikaru,3286,win,88.41,77.94
180,2024-01-03,True,blitz,Triumphmate,2512,timeout,Hikaru,3286,win,84.79,81.64
180,2024-01-03,True,blitz,AlmasRakhmatullaev,2798,resigned,Hikaru,3287,win,90.8,81.16
180,2024-01-03,True,blitz,Hikaru,3289,win,gmcorrales,2909,resigned,86.19,95.42
180,2024-01-03,True,blitz,Jospem,3023,resigned,Hikaru,3292,win,86.62,84.86
180,2024-01-03,True,blitz,Hikaru,3295,win,Oleksandr_Bortnyk,3015,resigned,92.8,94.89
180,2024-01-03,True,blitz,Hikaru,3295,win,IlanSchnaider,2677,resigned,73.03,100.0
180,2024-01-03,True,blitz,Hikaru,3298,win,Jospem,3031,resigned,89.69,92.96
180,2024-01-03,True,blitz,GMKrikor,2830,resigned,Hikaru,3299,win,87.1,77.84
180,2024-01-03,True,blitz,ErikRonka,2542,resigned,Hikaru,3299,win,85.41,79.19
180,2024-01-03,True,blitz,Hikaru,3300,win,GianmarcoVaR,2719,resigned,73.44,79.3
180,2024-01-03,True,blitz,Hikaru,3302,win,jcibarra,2931,resigned,87.59,93.93
180,2024-01-03,True,blitz,clemcand64,2613,timeout,Hikaru,3302,win,82.05,76.45
180,2024-01-03,True,blitz,Hikaru,3302,win,drisdan13,2497,resigned,78.41,79.81
180,2024-01-03,True,blitz,CamilliaLegend,2621,checkmated,Hikaru,3302,win,93.74,83.47
180,2024-01-03,True,blitz,Sychev_on_YouTube,2974,timeout,Hikaru,3304,win,81.71,77.16
180,2024-01-03,True,blitz,Hikaru,3305,win,I_am_Javi,2860,resigned,84.54,90.78
180,2024-01-03,True,blitz,I_am_Javi,2859,resigned,Hikaru,3306,win,87.42,80.29
180,2024-01-03,True,blitz,Hikaru,3307,win,I_am_Javi,2858,resigned,61.8,89.2
180,2024-01-03,True,blitz,I_am_Javi,2857,resigned,Hikaru,3308,win,90.65,80.79
180,2024-01-03,True,blitz,Hikaru,3309,win,I_am_Javi,2856,resigned,69.08,83.8
180,2024-01-03,True,blitz,I_am_Javi,2855,checkmated,Hikaru,3310,win,81.3,77.38
180,2024-01-03,True,blitz,Hikaru,3311,win,I_am_Javi,2854,resigned,82.93,88.5
180,2024-01-03,True,blitz,I_am_Javi,2853,checkmated,Hikaru,3312,win,87.79,75.15
180,2024-01-03,True,blitz,Hikaru,3313,win,I_am_Javi,2852,resigned,80.21,85.97
180,2024-01-03,True,blitz,I_am_Javi,2851,resigned,Hikaru,3314,win,96.04,86.99
180,2024-01-03,True,blitz,Hikaru,3299,checkmated,I_am_Javi,2866,win,74.41,68.17
180,2024-01-03,True,blitz,I_am_Javi,2865,resigned,Hikaru,3300,win,91.12,86.01
180,2024-01-03,True,blitz,Hikaru,3301,win,I_am_Javi,2864,resigned,77.58,85.35
180,2024-01-03,True,blitz,I_am_Javi,2863,checkmated,Hikaru,3302,win,85.99,67.3
180,2024-01-03,True,blitz,Hikaru,3303,win,I_am_Javi,2862,resigned,83.4,92.4
180,2024-01-03,True,blitz,I_am_Javi,2869,timevsinsufficient,Hikaru,3296,timevsinsufficient,84.6,89.15
180,2024-01-03,True,blitz,Hikaru,3297,win,I_am_Javi,2868,resigned,78.27,82.17
180,2024-01-03,True,blitz,I_am_Javi,2867,resigned,Hikaru,3298,win,91.69,81.99
180,2024-01-03,True,blitz,Hikaru,3299,win,I_am_Javi,2866,resigned,80.78,90.4
180,2024-01-03,True,blitz,I_am_Javi,2865,timeout,Hikaru,3300,win,79.92,78.81
180,2024-01-03,True,blitz,Hikaru,3301,win,I_am_Javi,2864,resigned,78.86,85.88
180,2024-01-03,True,blitz,I_am_Javi,2863,resigned,Hikaru,3302,win,84.61,74.73
180,2024-01-03,True,blitz,Hikaru,3303,win,I_am_Javi,2862,resigned,84.66,92.47
180,2024-01-03,True,blitz,I_am_Javi,2861,resigned,Hikaru,3304,win,83.77,73.25
180,2024-01-03,True,blitz,Hikaru,3305,win,I_am_Javi,2860,resigned,72.07,87.15
180,2024-01-03,True,blitz,Bagrat1on,2899,resigned,Hikaru,3306,win,80.5,70.74
180,2024-01-03,True,blitz,Hikaru,3307,win,Bagrat1on,2898,resigned,77.18,80.4
180,2024-01-03,True,blitz,Bagrat1on,2897,resigned,Hikaru,3308,win,91.95,87.07
180,2024-01-03,True,blitz,Hikaru,3309,win,Bagrat1on,2896,resigned,88.37,95.91
180,2024-01-03,True,blitz,Bagrat1on,2895,resigned,Hikaru,3310,win,92.72,83.47
180,2024-01-03,True,blitz,Hikaru,3311,win,Bagrat1on,2894,checkmated,82.09,95.57
180,2024-01-03,True,blitz,Bagrat1on,2893,resigned,Hikaru,3312,win,82.26,76.1
180,2024-01-03,True,blitz,Hikaru,3313,win,Bagrat1on,2892,resigned,80.84,91.21
180,2024-01-03,True,blitz,Bagrat1on,2891,resigned,Hikaru,3314,win,91.04,76.4
180,2024-01-03,True,blitz,Hikaru,3307,repetition,Bagrat1on,2898,repetition,82.4,83.55
180,2024-01-03,True,blitz,Bagrat1on,2913,win,Hikaru,3292,resigned,75.71,81.47
180,2024-01-03,True,blitz,Josh_2021,3005,timeout,Hikaru,3295,win,87.29,84.08
180,2024-01-03,True,blitz,Hikaru,3298,win,Josh_2021,3002,resigned,85.39,92.76
180,2024-01-03,True,blitz,Josh_2021,2999,resigned,Hikaru,3301,win,87.86,82.2
180,2024-01-05,True,blitz,Rymuselmun07,2958,timeout,Hikaru,3303,win,91.3,86.25
